"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00473808-01","Activity-cherrypicks","null",4.000,2.925,"Clc1c(NC(=O)N2Cc3c4c(n(C)c3CC2)ccc(F)c4)ccc(Cl)c1"
"NCGC00397174-01","Activity-cherrypicks","8.141598",-2.200,-46.275,"O=C(Nc1ccc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cc1)C"
"NCGC00454384-01","Activity-cherrypicks","null",4.000,1.123,"O(C)c1ccc(C2OCc3c(-c4nc(-c5occc5)on4)nnn3C2)cc1"
"NCGC00456898-01","Activity-cherrypicks","20.45077",-2.200,-33.148,"Fc1ccc(-c2nn3c(C(=O)N(CCNC(=O)c4occc4)C=C3)c2)cc1"
"NCGC00431303-01","Activity-cherrypicks","22.946142",-2.200,-40.477,"O=C(N[C@]1CN(C)[C@](C(=O)OC)C1)c1[nH]nc(-c2oc(C)cc2)c1"
"NCGC00398041-01","Activity-cherrypicks","null",4.000,-10.483,"O=C(Nc1cc(C#N)ccc1)NC=1C(=O)N2C(=CC=1)[C@]1CN(C(=O)Nc3ccc(OC)cc3)C[C@@](C2)C1"
"NCGC00426984-01","Activity-cherrypicks","4.578357",-2.400,-0.429,"O=C(NCc1occc1)c1ccc(-c2cnc(N3CCCCCC3)cc2)cc1"
"NCGC00475381-01","Activity-cherrypicks","1.822677",-1.100,-86.717,"N(Cc1oc(C)cc1)C1=Nn2c(C3CCC3)nnc2C=C1"
"NCGC00494659-01","Activity-cherrypicks","11.206595",-2.200,-54.342,"O=C(O)C[C@@]1[C@@](C(=O)O)N(C)C(=O)c2ncccc12"
"NCGC00432929-01","Activity-cherrypicks","null",4.000,-0.654,"Clc1cc(-c2ncc(NC(=O)c3cc(F)cc(F)c3)cn2)ccc1"
"NCGC00445750-01","Activity-cherrypicks","25.745995",-3.000,-32.824,"S(Cc1oc(-c2onc(C3COCC3)n2)cc1)c1nc(C)cc(C)n1"
"NCGC00397163-01","Activity-cherrypicks","4.080465",-1.200,-41.265,"FC(F)(F)c1ccc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cc1"
"NCGC00439488-01","Activity-cherrypicks","null",4.000,-2.245,"O=C(CCc1nc2n(c1)C=CC=C2)N1CCC2([C@@](OC)C[C@]2O)CC1"
"NCGC00425481-01","Activity-cherrypicks","20.45077",-2.200,-45.084,"Brc1c(C(=O)Nc2cc3ncnc(N4CCCC4)c3cc2)cccc1"
"NCGC00474341-01","Activity-cherrypicks","20.45077",-2.200,-42.533,"Fc1c(C(CC(=O)NCc2occc2)c2c3c([nH]c2)ccc([N+](=O)[O-])c3)cc(C)cc1"
"NCGC00473379-01","Activity-cherrypicks","null",4.000,2.626,"O=[N+]([O-])c1cc2c(C(CC(=O)N3CCOCC3)c3ccccc3)cn(Cc3ccccc3)c2cc1"
"NCGC00424593-01","Activity-cherrypicks","null",4.000,-1.824,"S(CC[C@]1C(=O)Nc2c(C(=O)N1)cc(NC(=O)Cn1c3c(cc1)cccc3)cc2)C"
